,scors_of_word,key_pos_word
0,-0.6908,vip
1,-0.6808,luckier
2,-0.6597,cancer
3,-0.6597,inhibit
4,-0.6486,sceptic
5,-0.6486,killer
6,-0.6249,faith
7,-0.6249,disgust
8,-0.6249,rancid
9,-0.6124,contend
10,-0.6124,forbid
11,-0.5994,fault
12,-0.5994,screw
13,-0.5994,fail
14,-0.5994,haha
15,-0.5994,adorn
16,-0.5994,freak
17,-0.5994,buoyant
18,-0.5859,screw
19,-0.5859,spirit
20,-0.5859,reward
21,-0.5859,amor
22,-0.5719,thx
23,-0.5719,stench
24,-0.5719,merit
25,-0.5719,perfecto
26,-0.5719,fave
27,-0.5719,frighten
28,-0.5719,grim
29,-0.5574,weird
30,-0.5574,shake
31,-0.5574,unclear
32,-0.5574,po
33,-0.5574,villain
34,-0.5574,bankrupt
35,-0.5574,rage
36,-0.5574,gloom
37,-0.5423,hate
38,-0.5423,ruin
39,-0.5423,avid
40,-0.5423,drunk
41,-0.5423,gla
42,-0.5423,torn
43,-0.5423,toughest
44,-0.5423,funnel
45,-0.5423,cheerful
46,-0.5423,forgiven
47,-0.5423,freeman
48,-0.5423,fatal
49,-0.5423,bankrupt
50,-0.5423,gratin
51,-0.5267,joyous
52,-0.5267,mess
53,-0.5267,teaspoon
54,-0.5267,anti
55,-0.5267,violent
56,-0.5267,loss
57,-0.5267,killer
58,-0.5267,bomb
59,-0.5267,devil
60,-0.5267,sorrow
61,-0.5267,harshest
62,-0.5267,grim
63,-0.5267,livid
64,-0.5267,resign
65,-0.5106,reject
66,-0.5106,splendor
67,-0.5106,dick
68,-0.5106,poison
69,-0.5106,stank
70,-0.5106,alright
71,-0.5106,debt
72,-0.5106,wanker
73,-0.5106,reek
74,-0.5106,prize
75,-0.4939,asset
76,-0.4939,vip
77,-0.4939,panic
78,-0.4939,heartfelt
79,-0.4939,cry
80,-0.4939,lowest
81,-0.4939,adorn
82,-0.4939,cynic
83,-0.4939,fav
84,-0.4939,smother
85,-0.4939,truest
86,-0.4939,warmish
87,-0.4939,gratin
88,-0.4767,dear
89,-0.4767,safer
90,-0.4767,kill
91,-0.4767,sicken
92,-0.4767,fair
93,-0.4767,optimist
94,-0.4767,cuter
95,-0.4767,vision
96,-0.4767,beaut
97,-0.4767,cock
98,-0.4767,relentless
99,-0.4767,tia
