,scors_of_word,key_pos_word
0,0.6486,lol
1,0.6369,love
2,0.6369,best
3,0.6369,heart
4,0.6369,freedom
5,0.6369,greatest
6,0.6369,glorious
7,0.6369,intact
8,0.6249,fun
9,0.6249,number
10,0.6249,brutal
11,0.6124,support
12,0.6124,splendor
13,0.6124,xoxo
14,0.6124,homesick
15,0.6124,vain
16,0.5994,fine
17,0.5994,recommend
18,0.5994,robust
19,0.5994,gentler
20,0.5994,tantrum
21,0.5994,poorer
22,0.5859,entertain
23,0.5859,forget
24,0.5859,keen
25,0.5859,warn
26,0.5859,fair
27,0.5859,heartfelt
28,0.5859,swift
29,0.5859,mooch
30,0.5859,applaud
31,0.5859,puke
32,0.5859,beaut
33,0.5859,nh
34,0.5719,vibrant
35,0.5719,chaotic
36,0.5719,admit
37,0.5719,wise
38,0.5719,insult
39,0.5719,insipid
40,0.5719,legal
41,0.5719,nervous
42,0.5719,dismal
43,0.5574,hug
44,0.5574,thoughtful
45,0.5574,trap
46,0.5574,lone
47,0.5574,stunk
48,0.5574,ban
49,0.5574,relentless
50,0.5574,fag
51,0.5574,trauma
52,0.5574,freeman
53,0.5423,rude
54,0.5423,award
55,0.5423,sincerest
56,0.5423,adopt
57,0.5423,forgiven
58,0.5267,hug
59,0.5267,interest
60,0.5267,happier
61,0.5267,chaotic
62,0.5267,exhaust
63,0.5267,kill
64,0.5267,low
65,0.5267,novel
66,0.5267,trivial
67,0.5267,weirdest
68,0.5267,stronger
69,0.5267,beaut
70,0.5267,restful
71,0.5267,merriment
72,0.5106,weak
73,0.5106,complain
74,0.5106,bliss
75,0.5106,save
76,0.5106,dump
77,0.5106,enthusiasm
78,0.5106,retreat
79,0.5106,grace
80,0.5106,splendid
81,0.5106,ruin
82,0.5106,screw
83,0.5106,amazon
84,0.5106,violent
85,0.5106,smother
86,0.5106,discomfort
87,0.5106,truest
88,0.5106,expel
89,0.4939,respect
90,0.4939,passion
91,0.4939,block
92,0.4939,fan
93,0.4939,retreat
94,0.4939,trick
95,0.4939,wise
96,0.4939,swift
97,0.4939,amazon
98,0.4939,ty
99,0.4939,boost
