,0,1,2,3
0,great,0.0,1.0,0.6249
1,super,0.0,1.0,0.5994
2,help,0.0,1.0,0.4019
3,thank,0.0,1.0,0.3612
4,perfect,0.0,1.0,0.5719
6,love,0.0,1.0,0.6369
7,relax,0.0,1.0,0.4404
9,fun,0.0,1.0,0.5106
11,well,0.0,1.0,0.2732
12,worth,0.0,1.0,0.2263
16,nice,0.0,1.0,0.4215
17,excel,0.0,1.0,0.4588
18,special,0.0,1.0,0.4019
21,good,0.0,1.0,0.4404
24,delight,0.0,1.0,0.5994
28,fine,0.0,1.0,0.2023
29,sure,0.0,1.0,0.3182
30,greet,0.0,1.0,0.3182
33,best,0.0,1.0,0.6369
34,gorgeous,0.0,1.0,0.6124
35,ha,0.0,1.0,0.34
36,cool,0.0,1.0,0.3182
40,comfort,0.0,1.0,0.3612
41,overwhelm,1.0,0.0,-0.1779
46,calm,0.0,1.0,0.3182
47,care,0.0,1.0,0.4939
48,support,0.0,1.0,0.4019
49,recommend,0.0,1.0,0.3612
50,clean,0.0,1.0,0.4019
52,want,0.0,1.0,0.0772
53,top,0.0,1.0,0.2023
60,kind,0.0,1.0,0.5267
65,treat,0.0,1.0,0.4019
68,drop,1.0,0.0,-0.2732
69,heart,0.0,1.0,0.6369
72,vibrant,0.0,1.0,0.5267
74,lost,1.0,0.0,-0.3182
77,smile,0.0,1.0,0.3612
78,like,0.0,1.0,0.3612
79,impress,0.0,1.0,0.4404
81,interrupt,1.0,0.0,-0.34
84,safe,0.0,1.0,0.4404
87,gain,0.0,1.0,0.5267
89,certain,0.0,1.0,0.2732
96,hand,0.0,1.0,0.4939
97,mad,1.0,0.0,-0.4939
101,expand,0.0,1.0,0.3182
102,rich,0.0,1.0,0.5574
103,free,0.0,1.0,0.5106
104,better,0.0,1.0,0.4404
105,friend,0.0,1.0,0.4939
117,no,1.0,0.0,-0.296
134,warm,0.0,1.0,0.2263
136,fresh,0.0,1.0,0.3182
159,flawless,0.0,1.0,0.5106
164,hope,0.0,1.0,0.4404
171,regret,1.0,0.0,-0.4215
172,hard,1.0,0.0,-0.1027
178,disappoint,1.0,0.0,-0.4019
192,huge,0.0,1.0,0.3182
199,charm,0.0,1.0,0.4019
204,avoid,1.0,0.0,-0.296
205,frantic,1.0,0.0,-0.4404
209,wow,0.0,1.0,0.5859
225,highlight,0.0,1.0,0.34
230,stop,1.0,0.0,-0.296
237,superb,0.0,1.0,0.6249
244,fire,1.0,0.0,-0.34
245,sweet,0.0,1.0,0.4588
248,wish,0.0,1.0,0.4019
254,number,0.0,1.0,0.0772
255,shame,1.0,0.0,-0.4767
261,dream,0.0,1.0,0.25
268,smart,0.0,1.0,0.4019
287,weak,1.0,0.0,-0.4404
293,difficult,1.0,0.0,-0.3612
295,accept,0.0,1.0,0.3818
297,entertain,0.0,1.0,0.3182
309,miss,1.0,0.0,-0.1531
342,allow,0.0,1.0,0.2263
351,enjoy,0.0,1.0,0.4939
370,hug,0.0,1.0,0.4767
378,credit,0.0,1.0,0.3818
387,eager,0.0,1.0,0.3612
393,interest,0.0,1.0,0.4588
425,reach,0.0,1.0,0.0258
426,easier,0.0,1.0,0.4215
432,freedom,0.0,1.0,0.6369
460,protect,0.0,1.0,0.3818
483,demand,1.0,0.0,-0.128
487,true,0.0,1.0,0.4215
510,happier,0.0,1.0,0.5267
518,stress,1.0,0.0,-0.4215
537,extend,0.0,1.0,0.1779
540,bother,1.0,0.0,-0.34
564,problem,1.0,0.0,-0.4019
567,tranquil,0.0,1.0,0.0516
574,harmless,0.0,1.0,0.25
575,straight,0.0,1.0,0.2263
584,cancel,1.0,0.0,-0.25
595,shock,1.0,0.0,-0.3818
610,sad,1.0,0.0,-0.4767
611,bless,0.0,1.0,0.4215
613,clear,0.0,1.0,0.3818
617,cheer,0.0,1.0,0.5106
619,respect,0.0,1.0,0.4767
648,restrict,1.0,0.0,-0.3818
649,complain,1.0,0.0,-0.3612
659,faultless,0.0,1.0,0.4588
691,mope,1.0,0.0,-0.4404
705,magnific,0.0,1.0,0.5106
709,warmth,0.0,1.0,0.4588
710,progress,0.0,1.0,0.4215
714,bliss,0.0,1.0,0.5719
717,honor,0.0,1.0,0.4939
722,serious,1.0,0.0,-0.0772
729,bright,0.0,1.0,0.4404
757,join,0.0,1.0,0.296
783,brilliant,0.0,1.0,0.5859
792,asset,0.0,1.0,0.3612
817,passion,0.0,1.0,0.4588
844,tout,1.0,0.0,-0.128
878,share,0.0,1.0,0.296
886,doubt,1.0,0.0,-0.3612
898,block,1.0,0.0,-0.4404
914,poor,1.0,0.0,-0.4767
